Kabupaten/Kota;Timbulan Sampah Tahunan(ton)
Kota Bekasi;867.236,75
Kota Adm. Jakarta Timur;836.961,37
Kota Adm. Jakarta Barat;729.092,61
Kota Adm. Jakarta Selatan;707.201,35
Kota Medan;645.012,56
Kota Bandung;581.280,03
Kota Adm. Jakarta Utara;494.454,86
Kab. Bandung;462.939,17
Kab. Banyuwangi;457.297,22
Kab. Cirebon;451.549,60
Kota Palembang;430.791,65
Kota Semarang;430.749,75
Kab. Serang;424.801,97
Kab. Garut;408.821,79
Kab. Deli Serdang;408.129,86
Kab. Sidoarjo;406.847,51
Kab. Indramayu;402.455,25
Kab. Sukabumi;397.915,70
Kota Makassar;373.653,93
Kab. Brebes;358.865,26
Kota Pekanbaru;353.133,89
Kab. Malang;350.614,62
Kota Denpasar;349.519,44
Kab. Cilacap;344.409,04
Kab. Grobogan;309.573,61
Kota Adm. Jakarta Pusat;309.298,18
Kota Tangerang Selatan;291.659,27
Kota Bandar Lampung;276.649,16
Kab. Sleman;268.481,59
Kab. Demak;263.666,36
Kab. Magelang;248.800,43
Kota Malang;247.388,97
Kota Bogor;245.922,33
Kab. Tegal;244.819,49
Kab. Pati;241.664,31
Kota Padang;233.385,96
Kab. Klaten;215.458,83
Kab. Pemalang;214.837,39
Kab. Sragen;213.952,27
Kota Samarinda;212.376,71
Kota Serang;209.672,00
Kab. Ciamis;208.818,25
Kab. Bojonegoro;195.823,81
Kab. Banyumas;195.357,75
Kab. Kediri;194.845,76
Kab. Jombang;193.583,44
Kab. Semarang;192.189,00
Kab. Langkat;189.685,76
Kab. Simalungun;189.456,90
Kota Banjarmasin;184.856,04
Kab. Purbalingga;184.585,06
Kab. Tuban;183.655,24
Kab. Lumajang;183.048,96
Kab. Temanggung;182.562,96
Kota Balikpapan;181.479,86
Kab. Lombok Timur;176.454,72
Kab. Lampung Tengah;172.707,86
Kab. Kuningan;170.482,16
Kab. Asahan;170.300,09
Kab. Kudus;162.765,18
Kab. Nganjuk;162.013,72
Kab. Sumedang;161.462,89
Kab. Wonogiri;160.369,61
Kota Jambi;158.106,98
Kab. Blitar;149.623,83
Kab. Banjar;148.795,80
Kab. Kendal;148.701,73
Kab. Muara Enim;148.459,04
Kab. Bone;147.231,88
Kab. Jepara;146.028,40
Kota Pontianak;144.651,25
Kab. Ponorogo;141.540,58
Kab. Pekalongan;141.447,87
Kab. Gianyar;141.337,13
Kab. Sumenep;134.116,61
Kab. Gunungkidul;133.629,74
Kab. Wonosobo;132.496,46
Kab. Karanganyar;132.071,89
Kab. Sukoharjo;131.200,56
Kab. Ngawi;130.204,03
Kota Manado;124.059,81
Kab. Buleleng;123.771,50
Kota Yogyakarta;119.501,69
Kab. Badung;116.731,24
Kab. Lahat;112.361,75
Kab. Indragiri Hilir;109.472,70
Kab. Trenggalek;107.293,65
Kab. Boyolali;106.159,34
Kab. Purworejo;105.420,18
Kab. Pacitan;104.654,83
Kab. Sambas;101.244,25
Kab. Pamekasan;100.957,25
Kota Cimahi;100.289,42
Kab. Magetan;97.938,55
Kota Mataram;96.354,09
Kab. Bengkalis;94.536,90
Kab. Situbondo;93.865,59
Kab. Musi Banyuasin;90.842,08
Kota Banda Aceh;90.765,86
Kab. Rembang;89.666,36
Kab. Batang;89.543,84
Kab. Sanggau;88.479,29
Kota Pematang Siantar;85.052,00
Kab. Tabanan;84.247,48
Kab. Blora;82.801,58
Kab. Karo;82.781,59
Kab. Parigi Moutong;82.341,99
Kab. Kutai Kartanegara;81.243,53
Kab. Lamongan;81.008,10
Kota Jayapura;79.496,56
Kab. Agam;78.412,95
Kab. Kutai Timur;77.461,58
Kab. Kapuas;74.898,00
Kota Cirebon;74.631,55
Kota Tegal;73.573,52
Kab. Merangin;72.545,03
Kab. Pesawaran;71.892,44
Kab. Way Kanan;70.036,49
Kab. Siak;69.739,82
Kota Palu;68.228,90
Kab. Tapanuli Tengah;66.644,80
Kota Sukabumi;65.795,65
Kab. Kulon Progo;64.654,35
Kab. Pinrang;64.570,25
Kab. Bulukumba;63.488,39
Kab. Minahasa;62.700,43
Kota Kediri;61.812,13
Kota Banjarbaru;60.120,18
Kab. Tanah Bumbu;59.986,29
Kab. Pringsewu;59.396,16
Kab. Jembrana;59.395,72
Kab. Pidie;59.243,73
Kota Dumai;59.029,99
Kab. Jeneponto;58.635,06
Kab. Manokwari;58.405,66
Kota Pangkal Pinang;58.399,38
Kab. Maros;57.950,90
Kota Bitung;57.874,58
Kab. Bungo;56.722,46
Kab. Lima Puluh Kota;56.295,41
Kab. Luwu;55.544,39
Kab. Wajo;55.348,60
Kab. Ogan Komering Ulu;54.938,49
Kota Palangkaraya;53.990,25
Kab. Halmahera Utara;52.084,44
Kab. Tanah Laut;51.733,64
Kota Gorontalo;51.541,50
Kab. Pangkajene Kepulauan;50.483,15
Kota Pasuruan;49.349,42
Kab. Bangka;47.634,69
Kab. Kotabaru;47.540,81
Kab. Tanah Datar;46.806,83
Kab. Tapanuli Utara;46.799,13
Kab. Sidenreng Rappang;46.718,54
Kab. Mamuju;45.786,99
Kab. Dairi;45.079,54
Kota Tebing Tinggi;45.077,61
Kab. Donggala;44.400,06
Kab. Pasaman;44.253,04
Kab. Luwu Timur;43.874,61
Kota Madiun;43.695,25
Kota Singkawang;42.899,18
Kab. Alor;42.533,30
Kab. Paser;42.080,85
Kota Batu;41.762,47
Kab. Enrekang;41.596,68
Kab. Minahasa Utara;41.061,22
Kota Salatiga;40.969,24
Kab. Bangli;40.479,96
Kab. Sinjai;39.534,76
Kab. Seluma;38.966,12
Kota Metro;37.912,84
Kota Bontang;37.894,33
Kab. Hulu Sungai Tengah;37.773,27
Kab. Dharmasraya;37.411,62
Kab. Gunung Mas;37.065,75
Kab. Tabalong;36.982,53
Kab. Aceh Barat;36.605,67
Kota Payakumbuh;36.063,06
Kota Prabumulih;35.426,54
Kab. Hulu Sungai Utara;35.280,75
Kota Probolinggo;35.247,76
Kab. Sijunjung;35.174,48
Kab. Hulu Sungai Selatan;35.042,92
Kab. Soppeng;34.707,12
Kab. Barito Kuala;34.660,04
Kab. Minahasa Selatan;34.523,60
Kab. Samosir;34.248,22
Kota Langsa;33.883,32
Kab. Penajam Paser Utara;33.766,52
Kota Palopo;33.704,28
Kota Kotamobagu;31.620,68
Kab. Jayapura;30.746,87
Kab. Melawi;30.524,07
Kab. Mempawah;30.015,96
Kab. Manggarai Barat;29.995,84
Kab. Lanny Jaya;29.483,24
Kota Magelang;29.447,93
Kab. Bantaeng;29.446,45
Kab. Tapin;29.379,14
Kab. Bangka Selatan;29.247,45
Kab. Lombok Utara;29.107,83
Kota Pare Pare;27.832,35
Kab. Barru;27.722,04
Kota Blitar;27.442,53
Kab. Solok Selatan;26.988,10
Kab. Belitung;26.533,31
Kota Tomohon;26.136,88
Kab. Majene;25.463,42
Kab. Nabire;24.693,86
Kota Mojokerto;24.168,48
Kab. Barito Utara;23.129,61
Kab. Mamuju Tengah;22.864,48
Kab. Pohuwato;21.379,07
Kab. Biak Numfor;21.323,59
Kab. Kepahiang;21.318,92
Kab. Kepulauan Selayar;20.488,47
Kab. Balangan;20.440,98
Kab. Kolaka Utara;20.340,57
Kab. Murung Raya;20.125,19
Kota Solok;19.663,02
Kota Tual;19.611,92
Kab. Belitung Timur;18.532,95
Kota Padang Panjang;17.519,42
Kab. Aceh Jaya;17.001,52
Kab. Barito Timur;16.977,76
Kota Tidore Kepulauan;16.834,53
Kab. Minahasa Tenggara;16.559,47
Kota Subulussalam;16.529,21
Kab. Asmat;16.298,27
Kab. Nunukan;15.260,25
Kab. Bolaang Mongondow Utara;15.167,94
Kab. Gayo Lues;14.757,24
Kab. Kep. Siau Tagulandang Biaro;13.429,08
Kab. Banggai Laut;12.933,78
Kab. Bolaang Mongondow Selatan;12.736,86
Kab. Sumba Tengah;9.490,37
Kab. Keerom;8.996,96
Kab. Sorong Selatan;8.167,39
Kota Sawahlunto;6.843,52
Kab. Adm. Kep. Seribu;6.429,48
